step_number,epoch_number,training_loss
1,0,5.044968605041504
2,0,3.661041736602783
3,0,3.3521013259887695
4,0,3.1438775062561035
5,0,3.6012911796569824
6,0,2.9864659309387207
7,0,2.8129372596740723
8,0,2.8416898250579834
9,0,1.8728182315826416
10,0,2.058229446411133
11,0,2.337940216064453
12,0,2.1138603687286377
13,0,2.082890033721924
14,0,2.326010227203369
15,0,1.7448883056640625
16,0,1.8604557514190674
17,0,2.000730037689209
18,0,2.259997844696045
19,0,2.0623703002929688
20,0,2.2001707553863525
21,0,1.8523279428482056
22,0,2.1940345764160156
23,0,1.8008577823638916
24,0,2.1991958618164062
25,0,1.8815171718597412
26,0,2.05741286277771
27,0,1.9860684871673584
28,0,1.4222147464752197
29,0,2.054962635040283
30,0,1.9330451488494873
31,0,2.0372202396392822
32,0,1.8994828462600708
33,0,1.7530449628829956
34,0,1.6046541929244995
35,0,2.1241087913513184
36,0,1.9224001169204712
37,0,1.5695563554763794
38,0,1.7687088251113892
39,0,1.6730031967163086
40,0,1.7181445360183716
41,0,2.0280983448028564
42,0,1.904679536819458
43,0,1.5184967517852783
44,0,1.6316330432891846
45,0,1.742431640625
46,0,1.525566816329956
47,0,1.624018669128418
48,0,1.8743526935577393
49,0,1.921125888824463
50,0,1.9528661966323853
51,0,1.5979392528533936
52,0,1.3390471935272217
53,0,1.7701828479766846
54,0,1.43635094165802
55,0,1.6848936080932617
56,0,1.713332176208496
57,0,1.6097638607025146
58,0,1.304687261581421
59,0,1.4280052185058594
60,0,1.2413456439971924
61,0,1.5046706199645996
62,0,1.6988818645477295
63,0,1.6874785423278809
64,0,1.7986873388290405
65,0,1.752692461013794
66,0,1.6224706172943115
67,0,1.639641523361206
68,0,1.4517607688903809
69,0,1.634438157081604
70,0,1.7894967794418335
71,0,1.5030460357666016
72,0,1.4522514343261719
73,0,1.776329517364502
74,0,1.6759212017059326
75,0,1.9883105754852295
76,0,1.7571232318878174
77,0,1.4910844564437866
78,0,2.0123660564422607
79,0,1.6444034576416016
80,0,1.531153678894043
81,0,1.5090396404266357
82,0,1.7175753116607666
83,0,1.5828605890274048
84,0,1.6879096031188965
85,0,1.7684385776519775
86,0,1.7188142538070679
87,0,1.5295147895812988
88,0,1.2674212455749512
89,0,1.8648297786712646
90,0,1.6866278648376465
91,0,1.787160873413086
92,0,1.8118460178375244
93,0,1.2515861988067627
94,0,1.3195021152496338
95,0,1.2726699113845825
96,0,1.3160512447357178
